City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
261,Prestea,GH,2022-01-30 16:16:19,5.4327,-2.1428,99.46,15,43,5.21
262,Were Ilu,ET,2022-01-30 16:17:40,10.6,39.4333,56.01,48,49,8.21
263,Hervey Bay,AU,2022-01-30 16:17:41,-25.2986,152.8535,73.51,84,80,7.4
264,Kununurra,AU,2022-01-30 16:15:24,-15.7667,128.7333,80.58,78,100,14.97
265,Tasiilaq,GL,2022-01-30 16:16:29,65.6145,-37.6368,8.76,35,0,34.74
266,Bilma,NE,2022-01-30 16:17:41,18.6853,12.9164,71.76,11,2,16.53
267,Hasaki,JP,2022-01-30 16:17:42,35.7333,140.8333,34.2,51,94,14.47
268,Ussel,FR,2022-01-30 16:17:42,45.55,2.3167,40.73,75,32,5.82
269,Yeppoon,AU,2022-01-30 16:17:19,-23.1333,150.7333,74.98,82,15,11.9
270,Raahe,FI,2022-01-30 16:17:43,64.6833,24.4833,15.89,91,100,13.71
271,Bintulu,MY,2022-01-30 16:17:43,3.1667,113.0333,75.61,100,40,4.61
272,Verkhnetulomskiy,RU,2022-01-30 16:17:44,68.6073,31.7962,-2.07,99,97,3.11
273,Kaitangata,NZ,2022-01-30 16:17:44,-46.2817,169.8464,54.54,96,57,2.37
274,Praia,CV,2022-01-30 16:17:45,14.9215,-23.5087,68.54,77,100,23.02
275,Washington,US,2022-01-30 16:17:38,47.5001,-120.5015,25.77,83,100,2.44
276,Kinablangan,PH,2022-01-30 16:18:45,7.6947,126.5503,76.89,83,28,4.65
277,Faanui,PF,2022-01-30 16:18:46,-16.4833,-151.75,79.79,73,68,6.8
278,Lebu,CL,2022-01-30 16:16:24,-37.6167,-73.65,63.39,73,75,14.65
279,Morales,CO,2022-01-30 16:18:46,2.757,-76.6172,68.77,76,100,2.19
280,Druzhba,UA,2022-01-30 16:18:47,52.0428,33.9453,32.61,97,100,13.27
281,Cayenne,GF,2022-01-30 16:18:47,4.9333,-52.3333,82.44,86,75,5.01
282,Jimenez,MX,2022-01-30 16:18:48,28.3333,-105.4,52.54,50,26,9.06
283,Bollnas,SE,2022-01-30 16:18:48,61.3482,16.3946,30.38,70,64,14.65
284,Cotacachi,EC,2022-01-30 16:18:48,0.3,-78.2667,60.35,77,100,3.29
285,Muzhi,RU,2022-01-30 16:18:49,65.3667,64.6667,3.81,96,100,2.51
286,Wajima,JP,2022-01-30 16:18:49,37.4,136.9,33.89,60,92,9.86
