City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
435,Marsa Matruh,EG,61.68,clear sky,31.3525,27.2453,Beau Site
436,Lebu,CL,61.12,clear sky,-37.6167,-73.65,Hostal Las Lilas
441,Hit,IQ,57.42,clear sky,33.6416,42.8251,صالون زيرو
442,Mulege,MX,58.93,clear sky,26.8833,-111.9833,Casa Granada
443,Erzin,TR,50.52,overcast clouds,36.9559,36.2,Artemis Otel
457,Carballo,ES,59.9,clear sky,43.213,-8.691,Pazo do Souto
458,Murray Bridge,AU,61.43,clear sky,-35.1167,139.2667,Balcony On Sixth Lodge
460,Aswan,EG,69.26,clear sky,24.0934,32.907,Nuba Nile
461,Fereydun Kenar,IR,53.83,overcast clouds,36.6864,52.5225,Khezer Shahr Tourist Hotel
463,Haimen,CN,56.34,overcast clouds,23.1935,116.6142,Jinghao Business Hotel
474,Challans,FR,54.27,scattered clouds,46.8436,-1.8749,Citotel Le Challans
476,Tomatlan,MX,60.69,clear sky,19.9333,-105.25,El Salvial
479,La Union,PE,73.36,scattered clouds,-5.4,-80.75,Los Portales
483,Pontes E Lacerda,BR,70.57,light rain,-15.2261,-59.3353,Hotel Bressan
487,Iberia,US,59.99,overcast clouds,29.9502,-91.7507,back to back rv park
488,Saint-Francois,FR,41.68,overcast clouds,46.4154,3.9054,Manoir Du Bonheur
500,Leua,SK,42.35,few clouds,48.2156,18.6071,Business Hotel ASTRUM Laus
502,Bukene,TZ,67.3,light rain,-4.2333,32.8833,New Millenium Lodge
503,Turayf,SA,52.3,clear sky,31.6725,38.6637,Turaif
508,Jiazi,CN,56.03,overcast clouds,22.8779,116.067,Hotel Jin Hao
510,Trapani,IT,55.35,clear sky,37.8333,12.6667,
516,Santo Nino,PH,74.86,overcast clouds,6.435,124.6975,The Signature Place
520,Dhupgari,IN,60.64,overcast clouds,26.5858,89.0145,Kalpana Pisir Hotel
521,Rocha,UY,68.83,clear sky,-34.4833,-54.3333,Hotel Arrarte
523,Naze,JP,55.72,overcast clouds,28.3667,129.4833,Shishime Hotel
524,Chikhli,IN,74.41,clear sky,20.35,76.25,Satish shete home
525,Celestun,MX,64.74,clear sky,20.8667,-90.4,Posada Lilia
526,Cervo,ES,59.2,scattered clouds,43.6702,-7.4101,Hotel Spa Galatea
